Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday
2010-12-03,Ballarat,12.8,25.5,0.0,,,NW,69.0,N,N,19.0,30.0,94.0,51.0,1012.7,1009.2,7.0,,17.0,23.9,No
2011-01-27,Portland,8.5,20.6,0.2,5.8,12.7,WSW,43.0,NW,W,13.0,30.0,86.0,72.0,1018.0,1020.0,4.0,6.0,16.6,19.9,No
2011-02-04,Newcastle,23.4,33.5,0.0,,,,,,SE,0.0,4.0,76.0,61.0,,,6.0,1.0,27.4,30.8,No
2016-06-30,Sydney,5.4,16.5,0.0,1.8,,NW,44.0,W,NNW,11.0,24.0,78.0,33.0,1021.2,1015.1,1.0,7.0,7.7,14.5,No
2013-06-20,Portland,1.4,12.9,0.2,1.0,8.1,N,20.0,N,NNE,9.0,9.0,99.0,64.0,1024.8,1020.7,,3.0,3.8,11.9,No
2012-09-30,PearceRAAF,5.9,28.1,0.0,,11.4,E,31.0,ENE,E,13.0,9.0,42.0,21.0,1021.8,1018.2,,,18.5,27.7,No
2012-06-08,Portland,9.6,13.1,0.0,0.8,0.2,SW,31.0,SSW,WSW,13.0,11.0,68.0,82.0,1030.0,1028.8,8.0,6.0,10.8,11.8,No
2016-01-15,PearceRAAF,21.9,37.8,0.0,,11.6,ENE,48.0,NNE,SSE,19.0,11.0,25.0,14.0,1019.0,1014.4,,,30.4,35.9,No
2013-12-23,Sydney,22.4,36.0,0.0,7.6,4.0,S,57.0,ESE,ESE,11.0,9.0,61.0,34.0,1007.2,1004.3,7.0,7.0,27.5,31.5,No
2015-05-28,Ballarat,6.6,17.1,0.0,,,NNW,59.0,N,NNW,28.0,41.0,98.0,55.0,1017.7,1014.3,2.0,8.0,9.3,16.4,No
2017-03-22,Penrith,21.3,31.6,20.8,,,SW,57.0,,NE,0.0,9.0,94.0,65.0,,,,,22.6,31.2,Yes
2016-07-02,Portland,10.5,15.1,9.6,1.0,,W,50.0,WSW,W,30.0,30.0,74.0,72.0,1024.8,1023.8,3.0,4.0,12.8,13.7,Yes
2012-02-03,PearceRAAF,20.4,25.1,21.0,,0.3,E,57.0,SSE,SSE,19.0,24.0,86.0,65.0,1002.3,1003.8,8.0,8.0,21.2,23.8,Yes
2013-10-10,Ballarat,10.5,13.2,0.0,,,NNE,39.0,ESE,SW,6.0,19.0,97.0,81.0,1003.4,1008.6,,8.0,13.0,11.6,No
2016-09-30,Ballarat,5.8,12.9,8.8,,,W,43.0,WSW,W,19.0,22.0,100.0,82.0,992.0,994.1,8.0,8.0,7.5,11.3,Yes
2011-08-17,Mildura,10.5,17.3,4.6,2.6,6.6,W,46.0,WNW,W,17.0,24.0,83.0,43.0,1006.4,1006.4,1.0,5.0,12.2,16.1,Yes
2010-10-09,Ballarat,2.0,13.8,0.2,,,S,30.0,SSW,SSW,9.0,15.0,98.0,66.0,1026.7,1026.1,1.0,8.0,8.2,12.6,No
2008-12-02,Ballarat,4.3,19.5,0.4,,,WNW,44.0,WNW,WNW,20.0,24.0,66.0,47.0,1009.3,1007.3,6.0,8.0,12.5,17.6,No
2014-03-23,PearceRAAF,21.3,34.6,0.0,,10.9,ENE,65.0,ENE,E,44.0,28.0,51.0,26.0,1018.0,1015.3,6.0,,23.9,33.5,No
2013-10-31,Portland,10.1,16.0,0.0,2.2,6.2,SSW,26.0,S,SSW,7.0,13.0,66.0,62.0,1025.7,1024.7,8.0,7.0,12.4,14.8,No
2012-09-12,Mildura,9.0,29.9,0.0,6.8,9.6,WSW,63.0,N,W,19.0,20.0,21.0,6.0,1017.5,1011.7,0.0,5.0,19.5,28.3,No
2012-04-16,Ballarat,10.2,19.3,0.0,,,SE,44.0,SE,SE,24.0,22.0,88.0,57.0,1025.1,1024.1,6.0,,15.6,17.9,No
2012-09-14,Brisbane,13.0,23.2,0.0,7.6,10.5,WSW,28.0,SW,ESE,7.0,9.0,35.0,35.0,1017.5,1015.1,1.0,1.0,17.6,22.2,No
2009-01-07,PearceRAAF,18.8,36.6,0.0,,13.2,E,69.0,E,ESE,26.0,22.0,49.0,23.0,1013.8,1010.5,,,23.2,34.3,No
2014-08-13,Sydney,7.9,17.0,19.4,3.6,10.1,SSW,37.0,W,SSE,19.0,20.0,77.0,46.0,1033.3,1031.9,2.0,2.0,10.5,16.2,Yes
2015-11-08,Portland,6.1,26.2,0.0,4.0,11.9,W,24.0,NNE,WSW,15.0,13.0,65.0,28.0,1020.8,1019.3,,,13.4,25.7,No
2012-07-20,Penrith,2.1,17.0,0.2,,,SW,19.0,,SSW,0.0,9.0,93.0,37.0,,,,,6.9,16.6,No
2017-02-19,Sydney,18.6,26.1,3.2,6.4,7.9,S,48.0,W,ESE,17.0,19.0,69.0,48.0,1008.7,1006.1,5.0,2.0,19.7,25.0,Yes
2013-04-20,Penrith,13.0,18.4,7.0,,,S,39.0,SSW,S,15.0,20.0,87.0,76.0,,,,,15.7,18.3,Yes
2009-05-01,Ballarat,4.4,11.0,0.0,,,,,NNE,WNW,22.0,6.0,69.0,87.0,1023.4,1022.9,7.0,,8.1,10.5,No
2010-09-17,Penrith,3.5,20.2,0.0,,,,,NNE,N,6.0,15.0,51.0,31.0,,,,,13.1,19.5,No
2009-04-02,Ballarat,11.8,28.6,0.0,,,NNE,50.0,NNE,N,20.0,30.0,60.0,36.0,1022.5,1019.1,5.0,,19.0,26.6,No
2009-08-09,Sydney,5.9,16.8,0.0,2.6,8.4,,,W,E,17.0,15.0,70.0,55.0,1020.8,1017.9,3.0,4.0,8.5,16.0,No
2010-09-10,PearceRAAF,3.5,18.0,0.0,,10.8,SW,26.0,,S,0.0,17.0,70.0,53.0,1021.5,1018.1,6.0,3.0,12.3,17.7,No
2012-04-09,Melbourne,12.2,16.8,,3.8,4.9,SW,65.0,WSW,SSW,24.0,28.0,74.0,47.0,1018.7,1021.0,,,13.3,14.3,
2008-09-02,Melbourne,10.1,17.2,0.8,3.8,4.9,N,43.0,N,SSW,11.0,17.0,77.0,55.0,1025.8,1027.2,7.0,7.0,11.5,14.1,No
2010-09-25,Melbourne,10.9,19.9,0.0,2.8,6.5,SW,54.0,NNW,WSW,22.0,20.0,60.0,40.0,1014.8,1014.0,,,13.6,19.0,No
2013-07-07,Ballarat,1.5,8.0,1.6,,,N,33.0,NNE,N,9.0,22.0,100.0,100.0,1025.3,1025.1,8.0,7.0,4.3,7.0,Yes
2011-08-29,Melbourne,11.1,15.9,0.2,3.8,5.2,WSW,46.0,W,SSE,22.0,20.0,70.0,49.0,1018.2,1020.0,3.0,5.0,12.2,14.4,No
2013-06-19,Penrith,8.3,16.9,1.0,,,SW,35.0,SW,SSW,19.0,17.0,64.0,46.0,,,,,12.5,16.6,No
2014-04-20,Ballarat,8.3,15.8,0.0,,,WNW,33.0,NNW,NW,17.0,17.0,68.0,47.0,1018.2,1016.4,8.0,7.0,10.6,15.2,No
2012-03-15,Portland,17.1,25.4,4.6,7.8,,NW,48.0,N,W,15.0,26.0,80.0,54.0,1004.8,1003.4,7.0,,20.2,23.0,Yes
2013-03-20,Brisbane,20.3,27.2,0.0,8.4,1.2,E,35.0,SSW,ESE,4.0,13.0,70.0,72.0,1022.5,1019.9,7.0,7.0,23.3,22.3,No
2010-10-26,Portland,6.8,17.2,0.0,3.4,6.9,WNW,54.0,WNW,WSW,20.0,33.0,94.0,97.0,1015.7,1016.0,7.0,7.0,12.2,14.5,No
2012-08-07,Brisbane,7.9,23.2,0.0,5.0,10.1,,,SW,S,6.0,4.0,46.0,24.0,1023.9,1021.2,0.0,1.0,15.6,22.3,No
2017-02-19,Portland,10.7,16.9,6.6,,,SW,56.0,SSW,SW,22.0,31.0,80.0,57.0,1010.8,1011.2,8.0,8.0,12.3,14.9,Yes
2013-10-25,Melbourne,7.5,16.3,0.6,3.4,3.6,W,44.0,WNW,WNW,20.0,24.0,62.0,45.0,1024.2,1022.0,7.0,7.0,11.0,15.5,No
2012-09-12,Sydney,11.0,21.3,0.0,3.8,10.2,NE,43.0,W,NE,11.0,20.0,66.0,67.0,1023.1,1015.7,6.0,1.0,15.8,19.6,No
